time,lat,long,depth,mag,ms
2009-02-26T11:05:26.300Z,60.50066666666667,-152.74116666666666,-3,0.1,1235646326300
2009-02-26T15:34:01.610Z,60.486333333333334,-152.75933333333333,0.19,0,1235662441610
2009-02-26T16:16:23.180Z,60.51833333333333,-152.778,5.6,0.1,1235664983180
2009-02-26T16:25:43.870Z,60.48316666666667,-152.74916666666667,1.12,0,1235665543870
2009-02-26T16:40:10.020Z,60.52466666666667,-152.7415,-2.15,0.1,1235666410020
2009-02-26T17:59:22.480Z,60.5045,-152.73283333333333,-3,0,1235671162480
2009-02-27T04:08:25.600Z,60.49133333333333,-152.73966666666666,-3,0.1,1235707705600
2009-02-27T06:13:16.120Z,60.488166666666665,-152.77083333333334,-2.83,0,1235715196120
2009-02-27T07:53:03.480Z,60.48,-152.7725,1.47,0.1,1235721183480
2009-02-27T11:21:38.820Z,60.513333333333335,-152.69716666666667,1.11,0.1,1235733698820
2009-02-27T11:23:01.000Z,60.49033333333333,-152.7435,-2.94,0,1235733781000
2009-02-27T11:27:16.860Z,60.47533333333333,-152.77016666666665,-2.67,0,1235734036860
2009-02-27T11:37:26.570Z,60.4625,-152.77133333333333,-2.59,0.1,1235734646570
2009-02-27T17:09:43.630Z,59.35616666666667,-153.42316666666667,-0.89,0,1235754583630
2009-02-27T20:30:47.330Z,52.08083333333333,-176.154,-3,0,1235766647330
2009-02-27T21:25:56.930Z,60.497166666666665,-152.77283333333332,1.37,0.1,1235769956930
2009-02-28T00:40:27.420Z,60.52483333333333,-152.76533333333333,0.87,0.1,1235781627420
2009-02-28T02:43:23.430Z,60.5015,-152.77566666666667,1.18,0,1235789003430
2009-02-28T04:07:32.060Z,60.45283333333333,-152.70883333333333,3.13,0,1235794052060
2009-02-28T06:20:54.850Z,60.5055,-152.771,0.48,0,1235802054850
2009-02-28T09:04:24.680Z,60.459833333333336,-152.76783333333333,-2.61,0,1235811864680
2009-02-28T12:55:51.260Z,60.5155,-152.7845,1.71,0,1235825751260
2009-02-28T13:59:58.300Z,60.505,-152.77233333333334,0.78,0,1235829598300
2009-02-28T21:47:51.880Z,58.171,-155.35433333333333,1,0,1235857671880
2009-03-01T04:00:56.960Z,60.476333333333336,-152.7715,-3,0,1235880056960
2009-03-02T12:33:15.270Z,60.49033333333333,-152.77066666666667,-1.82,0,1235997195270
