time,lat,long,depth,mag
2009-12-12T22:59:47.250Z,60.026166719,-153.080500161,0,-4
2009-12-12T16:18:46.790Z,58.245333824,-154.990501981,0,2
2009-12-12T16:15:39.810Z,53.884835103,-166.917835169,405,6
2009-12-12T13:02:42.590Z,58.176333686,-155.311000622,0,-3
2009-12-12T12:49:50.290Z,58.184500369,-155.296500593,485,-3
2009-12-12T10:09:52.510Z,60.509334352,-152.691001382,602,0
2009-12-12T06:19:24.940Z,58.235833805,-155.145666958,0,-1
2009-12-12T00:20:33.600Z,53.220667108,-168.29500059,1000,14
2009-12-11T23:49:59.180Z,53.202500405,-168.29333392,645,14
2009-12-11T07:04:31.880Z,58.196333726,-155.285500571,0,-2
2009-12-11T06:22:17.530Z,60.425334184,-152.721834777,0,4
2009-12-11T06:09:58.840Z,57.888001776,-156.475667618,508,9
2009-12-11T03:01:16.200Z,60.469834273000004,-153.04666676,1105,5
2009-12-11T02:10:17.190Z,58.168667004,-155.345334024,163,1
2009-12-10T11:11:34.910Z,58.174500349,-155.354167375,130,7
2009-12-10T06:37:38.730Z,51.853001706,-177.573001146,957,15
2009-12-10T06:04:53.760Z,61.155333644,-152.238667144,488,1
2009-12-10T05:13:54.700Z,53.250833835,-168.358000716,922,14
2009-12-09T20:25:58.760Z,61.323833981,-152.225333784,0,1
2009-12-09T17:41:41.130Z,60.656001312,-152.683501367,813,3
2009-12-09T15:25:19.840Z,60.520501041,-152.754001508,485,4
2009-12-09T14:07:40.100Z,52.091500183,-176.404334142,1116,6
2009-12-09T10:36:43.080Z,58.180667028,-155.344167355,410,14
2009-12-09T10:08:29.670Z,61.29666726,-152.079500159,539,0
2009-12-09T04:14:13.490Z,58.234167135,-155.147000294,115,3
2009-12-09T02:12:19.180Z,58.12000024,-155.214667096,264,4
2009-12-09T01:56:14.610Z,61.484667636,-151.984668636,336,6
2009-12-09T00:15:12.650Z,58.171833677,-155.357167381,174,6
2009-12-08T20:09:10.860Z,58.312833959,-155.426834187,1533,11
2009-12-08T18:58:43.320Z,58.247000494,-155.117333568,0,0
2009-12-08T18:58:04.970Z,58.245333824,-155.119500239,0,6
2009-12-08T17:05:40.630Z,61.247833829,-152.000002,761,3
2009-12-08T16:55:04.020Z,58.192000384,-155.248000496,0,7
