year,month,day,hour,min,sec,lat,,latM,latMd,long,,longM,longMd,depth,mag
2008,1,18,8,7,4425,61,N,19,28,152,W,15,15,116,1
2008,1,18,14,3,3234,59,N,21,58,153,W,26,26,43,-9
2008,1,18,14,3,3449,59,N,21,52,153,W,25,91,22,-5
2008,1,18,16,12,5061,61,N,19,5,152,W,15,12,424,6
2008,1,18,16,33,34,61,N,17,4,152,W,21,26,396,4
2008,1,18,17,41,1850,59,N,21,72,153,W,26,43,26,-4
2008,1,18,17,47,743,57,N,40,18,156,W,24,6,1263,9
2008,1,18,18,1,5724,61,N,53,73,144,W,7,84,491,9
2008,1,18,18,58,256,61,N,9,71,152,W,24,39,1247,1
2008,1,18,18,57,4765,59,N,21,52,153,W,25,60,0,-6
2008,1,18,20,32,269,58,N,14,7,155,W,11,24,0,-2
2008,1,18,20,57,3178,59,N,21,72,153,W,25,86,8,-4
2008,1,18,22,14,3283,61,N,8,54,152,W,14,74,519,2
2008,1,19,0,6,4654,61,N,8,83,152,W,14,63,482,5
2008,1,19,1,18,1143,58,N,23,62,154,W,49,14,521,8
2008,1,19,5,56,4585,61,N,8,69,152,W,14,50,510,0
2008,1,19,13,5,3618,61,N,18,0,152,W,14,35,417,4
2008,1,19,17,48,2152,61,N,8,59,152,W,21,44,423,-4
2008,1,19,19,35,922,59,N,21,69,153,W,25,59,0,3
2008,1,19,20,3,2663,59,N,21,57,153,W,25,89,0,0
2008,1,19,20,6,4960,59,N,21,58,153,W,25,42,0,2
2008,1,19,20,35,5247,59,N,21,89,153,W,25,64,0,5
2008,1,19,20,56,2796,59,N,21,56,153,W,25,45,0,2
2008,1,19,21,10,4590,59,N,21,71,153,W,25,59,0,9
2008,1,19,21,18,1460,59,N,21,72,153,W,25,64,0,10
2008,1,19,21,53,2093,61,N,18,52,152,W,14,78,411,2
2008,1,19,23,33,1066,59,N,21,45,153,W,25,57,0,1
2008,1,19,23,48,4734,59,N,21,48,153,W,25,67,0,1
2008,1,20,1,5,3015,59,N,21,72,153,W,25,55,0,10
2008,1,20,1,6,2639,59,N,21,75,153,W,25,71,0,-3
2008,1,20,1,6,3853,59,N,21,72,153,W,25,74,0,3
2008,1,20,1,16,1353,59,N,21,67,153,W,25,67,0,5
2008,1,20,1,50,2483,59,N,21,57,153,W,25,80,0,11
2008,1,20,2,1,1540,59,N,21,54,153,W,25,75,0,7
2008,1,20,2,28,5567,62,N,,73,144,W,8,54,440,9
2008,1,20,4,30,2303,59,N,21,70,153,W,25,65,0,8
2008,1,20,4,51,5403,59,N,21,55,153,W,26,1,0,2
2008,1,20,5,13,5137,59,N,21,80,153,W,25,63,0,5
2008,1,20,7,28,776,59,N,21,48,153,W,25,52,0,11
2008,1,20,8,18,1515,59,N,21,62,153,W,25,49,0,5
2008,1,20,8,37,631,59,N,21,58,153,W,25,99,0,10
2008,1,20,8,41,2590,59,N,21,62,153,W,25,47,0,6
2008,1,20,9,50,3556,59,N,21,67,153,W,25,78,0,4
2008,1,20,11,19,2936,59,N,21,62,153,W,25,63,0,3
2008,1,20,11,42,1758,59,N,21,30,153,W,25,39,0,2
2008,1,20,12,13,1979,59,N,21,55,153,W,25,54,0,8
2008,1,20,12,15,599,59,N,21,43,153,W,25,71,0,7
2008,1,20,12,20,677,59,N,21,70,153,W,25,72,0,3
2008,1,20,12,23,3382,59,N,21,38,153,W,25,49,0,4
2008,1,20,12,23,5128,59,N,21,51,153,W,25,61,0,9
2008,1,20,12,40,4867,59,N,21,65,153,W,25,59,0,9
2008,1,20,15,9,3920,58,N,10,6,155,W,19,63,311,5
2008,1,20,17,49,750,59,N,21,62,153,W,26,6,11,4
