time,lat,long,depth,mag,ms
2007-01-07T07:47:03.060Z,52.3191666667,-174.145,6.02,0.6,1168156023060
2007-01-07T07:54:52.790Z,54.6045,-163.5296666667,9.35,2.6,1168156492790
2007-01-07T08:16:31.410Z,58.2935,-154.9885,1.61,0.3,1168157791410
2007-01-07T08:26:39.690Z,54.574,-163.525,8.47,1.7,1168158399690
2007-01-07T08:47:36.140Z,52.3243333333,-174.1466666667,4.4,0.6,1168159656140
2007-01-07T08:49:38.200Z,52.3145,-174.1736666667,2.79,0.9,1168159778200
2007-01-07T08:52:08.090Z,52.325,-174.1345,5.47,1,1168159928090
2007-01-07T10:22:40.690Z,54.5713333333,-163.53,8.48,2.2,1168165360690
2007-01-07T11:52:57.970Z,51.8433333333,-178.7976666667,5.95,1.3,1168170777970
2007-01-07T12:08:22.210Z,51.7695,-178.7798333333,5.85,1.3,1168171702210
2007-01-07T13:46:30.910Z,61.2241666667,-152.4735,7.04,0.1,1168177590910
2007-01-07T14:29:38.330Z,54.6111666667,-163.5298333333,8.93,2.2,1168180178330
2007-01-07T14:56:52.330Z,61.0401666667,-152.271,12.25,0.1,1168181812330
2007-01-07T18:08:04.550Z,58.2903333333,-155.0171666667,5.76,0.7,1168193284550
2007-01-07T18:57:19.430Z,51.9421666667,178.4426666667,5.02,0.7,1168196239430
2007-01-07T20:26:34.850Z,54.6155,-163.5123333333,9.5,1.9,1168201594850
2007-01-07T20:41:08.480Z,58.232,-155.1345,0.62,0.3,1168202468480
2007-01-07T21:16:09.010Z,54.5945,-163.5525,0.89,1.1,1168204569010
2007-01-07T21:45:34.710Z,54.5808333333,-163.5558333333,8.77,1.3,1168206334710
2007-01-08T00:11:24.150Z,54.6001666667,-163.5698333333,8.85,1.1,1168215084150
2007-01-08T01:36:26.060Z,54.6018333333,-163.5415,8.65,1.8,1168220186060
2007-01-08T01:55:21.030Z,51.7881666667,-178.7818333333,4.69,1.2,1168221321030
2007-01-08T02:35:35.160Z,58.2643333333,-154.9725,1.93,0.9,1168223735160
2007-01-08T02:50:34.810Z,53.7226666667,-166.7573333333,6.13,1,1168224634810
2007-01-08T04:49:39.710Z,54.588,-163.5348333333,9.05,2.3,1168231779710
2007-01-08T14:33:46.090Z,53.7228333333,-166.7458333333,9.24,1.1,1168266826090
2007-01-08T16:08:15.260Z,58.241,-155.168,1.13,0.4,1168272495260
2007-01-08T21:58:40.600Z,58.7821666667,-153.6576666667,4.5,0.2,1168293520600
2007-01-08T22:01:18.000Z,58.7823333333,-153.6588333333,3.83,0.8,1168293678000
2007-01-08T22:01:24.120Z,58.7806666667,-153.6585,3.56,0.6,1168293684120
2007-01-08T22:01:37.280Z,58.7845,-153.6571666667,3.17,0.5,1168293697280
2007-01-08T22:17:50.350Z,58.2376666667,-155.1615,-3,-0.2,1168294670350
2007-01-08T22:40:15.430Z,58.2411666667,-155.1653333333,3.1,0.1,1168296015430
2007-01-08T23:06:54.600Z,58.5335,-154.4266666667,9.54,1.3,1168297614600
2007-01-08T23:51:50.430Z,58.5435,-154.4451666667,9.72,1.1,1168300310430
2007-01-09T02:24:09.760Z,58.549,-154.4578333333,9.78,1.1,1168309449760
2007-01-09T03:19:27.810Z,58.5496666667,-154.4638333333,9.32,1.1,1168312767810
2007-01-09T03:36:10.130Z,58.7536666667,-153.6748333333,-3,0.9,1168313770130
2007-01-09T06:40:02.290Z,58.7683333333,-153.662,2.06,0.2,1168324802290
2007-01-09T07:53:58.840Z,58.2701666667,-154.9958333333,1.76,0.7,1168329238840
2007-01-09T14:05:54.850Z,58.7831666667,-153.6591666667,3.59,0.5,1168351554850
2007-01-09T14:06:13.960Z,58.7805,-153.6608333333,3.82,0.4,1168351573960
2007-01-09T14:48:25.110Z,58.8913333333,-153.6451666667,5.4,0.1,1168354105110
2007-01-09T16:20:10.590Z,58.7781666667,-153.6523333333,2.33,0.3,1168359610590
2007-01-09T16:27:36.550Z,58.7586666667,-153.6748333333,2.48,0.4,1168360056550
2007-01-09T16:47:58.910Z,58.7958333333,-153.6328333333,1.3,-0.2,1168361278910
2007-01-09T17:06:42.770Z,58.7571666667,-153.6755,2.61,0.2,1168362402770
2007-01-09T20:20:00.340Z,61.314,-152.2483333333,4.25,0.1,1168374000340
2007-01-09T22:28:29.020Z,58.1761666667,-155.3316666667,1.36,0.2,1168381709020
2007-01-09T22:33:43.250Z,61.198,-152.272,3.67,-0.5,1168382023250
2007-01-09T23:34:23.130Z,58.8031666667,-153.5555,3.36,-0.1,1168385663130
2007-01-09T23:41:28.790Z,58.795,-153.5633333333,3.1,0.3,1168386088790
2007-01-10T02:34:48.220Z,52.2958333333,-174.2671666667,4.76,0.6,1168396488220
2007-01-10T02:46:31.990Z,62.005,-144.0281666667,2.69,0.5,1168397191990
2007-01-10T03:54:21.070Z,62.0081666667,-144.1266666667,1.71,0.8,1168401261070
2007-01-10T05:46:46.730Z,61.9701666667,-144.2556666667,6.57,0.8,1168408006730
2007-01-10T09:46:14.870Z,51.8145,-177.1753333333,13.36,1.1,1168422374870
2007-01-10T12:06:14.600Z,51.8045,-177.2276666667,13.65,1.4,1168430774600
2007-01-10T15:31:54.980Z,60.9701666667,-152.4575,3.03,0.4,1168443114980
2007-01-10T18:40:00.240Z,58.354,-155.0945,1.97,0.7,1168454400240
2007-01-10T21:50:57.270Z,54.6091666667,-163.5,9.49,1.6,1168465857270
2007-01-10T22:45:28.430Z,58.7676666667,-153.6785,2.66,0.8,1168469128430
2007-01-10T22:47:34.220Z,58.7691666667,-153.6633333333,2.85,0.8,1168469254220
2007-01-10T22:48:33.780Z,58.7808333333,-153.6623333333,2.19,0.5,1168469313780
2007-01-10T22:52:02.720Z,58.7718333333,-153.6743333333,4.3,1,1168469522720
2007-01-10T22:55:29.930Z,58.7835,-153.6595,2.07,0.9,1168469729930
2007-01-10T23:01:07.010Z,58.7695,-153.668,4.64,0.6,1168470067010
2007-01-10T23:02:09.790Z,58.7828333333,-153.655,3.33,0.2,1168470129790
2007-01-10T23:02:48.600Z,58.7686666667,-153.6773333333,3.48,1.5,1168470168600
2007-01-10T23:13:32.280Z,58.7696666667,-153.6713333333,4,1.1,1168470812280
2007-01-10T23:21:51.290Z,58.7681666667,-153.669,4,0.4,1168471311290
2007-01-10T23:25:10.950Z,58.7731666667,-153.6671666667,4,1.5,1168471510950
2007-01-10T23:40:29.620Z,58.7708333333,-153.6681666667,4.64,0.9,1168472429620
2007-01-10T23:43:17.580Z,58.7725,-153.6663333333,3.87,1,1168472597580
2007-01-11T00:00:55.510Z,54.1063333333,-166.0176666667,22.04,1.6,1168473655510
2007-01-11T00:35:00.050Z,58.7856666667,-153.6555,3.1,0.2,1168475700050
2007-01-11T00:52:52.150Z,58.7795,-153.6643333333,2.3,0.8,1168476772150
2007-01-11T02:05:17.530Z,58.7736666667,-153.6628333333,2.98,0.5,1168481117530
2007-01-11T05:59:51.100Z,58.1728333333,-155.3533333333,-3,0.1,1168495191100
2007-01-11T06:16:24.150Z,58.7631666667,-153.6661666667,2.06,0.4,1168496184150
2007-01-11T06:47:39.150Z,61.3633333333,-152.3338333333,5.34,-0.3,1168498059150
2007-01-11T07:53:11.900Z,61.2691666667,-152.2455,-2.36,-0.3,1168501991900
2007-01-11T09:20:26.600Z,58.2415,-155.1386666667,-3,0.1,1168507226600
2007-01-11T09:49:40.770Z,52.3256666667,-174.1918333333,5.79,0.5,1168508980770
2007-01-11T15:21:37.840Z,58.7871666667,-153.653,9.82,0.5,1168528897840
2007-01-11T18:45:38.460Z,52.392,-174.1598333333,2.19,0.5,1168541138460
2007-01-11T20:42:38.000Z,61.3591666667,-152.3236666667,3.91,-0.2,1168548158000
2007-01-11T21:54:04.930Z,58.7756666667,-153.6645,2.89,0.3,1168552444930
2007-01-11T22:04:06.600Z,58.7423333333,-153.8668333333,6.85,0.5,1168553046600
2007-01-11T23:33:56.620Z,54.615,-163.5448333333,9.44,1.8,1168558436620
2007-01-11T23:48:38.490Z,54.6226666667,-163.501,9.86,1.9,1168559318490
2007-01-12T00:13:36.170Z,52.2996666667,-174.148,2.77,3.5,1168560816170
2007-01-12T00:14:49.370Z,52.3001666667,-174.136,4.28,1.3,1168560889370
2007-01-12T00:16:17.660Z,52.312,-174.185,6.32,0.2,1168560977660
2007-01-12T00:16:29.760Z,52.3331666667,-174.1783333333,9.77,0.4,1168560989760
2007-01-12T00:17:20.080Z,52.3163333333,-174.1423333333,11.55,0.6,1168561040080
2007-01-12T00:19:35.640Z,52.3196666667,-174.1416666667,11.77,0.2,1168561175640
2007-01-12T00:19:50.800Z,52.3073333333,-174.108,10.58,0.8,1168561190800
2007-01-12T00:20:22.010Z,52.317,-174.1311666667,11.62,1,1168561222010
2007-01-12T00:20:32.350Z,52.3026666667,-174.1053333333,8.58,1,1168561232350
2007-01-12T00:22:10.190Z,52.3021666667,-174.139,10,0.3,1168561330190
2007-01-12T00:22:26.360Z,52.3125,-174.116,9.91,0.7,1168561346360
2007-01-12T00:22:32.700Z,52.3198333333,-174.1463333333,9.43,1,1168561352700
2007-01-12T00:23:03.060Z,52.3201666667,-174.1446666667,8.56,0.5,1168561383060
2007-01-12T00:23:23.570Z,52.3258333333,-174.1588333333,10.47,0.8,1168561403570
2007-01-12T00:23:31.860Z,52.3105,-174.114,9.81,0.8,1168561411860
2007-01-12T00:24:45.220Z,52.3076666667,-174.137,6.2,0,1168561485220
2007-01-12T00:25:10.240Z,52.332,-174.1655,11,0.3,1168561510240
2007-01-12T00:29:35.630Z,52.3146666667,-174.1258333333,7.52,0.5,1168561775630
2007-01-12T00:31:17.110Z,52.314,-174.1523333333,8.99,0.4,1168561877110
2007-01-12T00:31:45.660Z,52.3141666667,-174.1263333333,4.97,0.8,1168561905660
2007-01-12T00:38:38.680Z,52.31,-174.1171666667,10.44,0.6,1168562318680
2007-01-12T01:17:05.690Z,52.3086666667,-174.1218333333,9.99,0.6,1168564625690
2007-01-12T05:55:20.770Z,54.6068333333,-163.5281666667,7.51,2.4,1168581320770
2007-01-12T05:56:46.110Z,54.6201666667,-163.5121666667,9.42,1.4,1168581406110
2007-01-12T06:30:44.300Z,58.7656666667,-153.6711666667,4.24,1.1,1168583444300
2007-01-12T06:34:08.450Z,58.7831666667,-153.6653333333,4.41,0.7,1168583648450
2007-01-12T06:47:27.260Z,58.7648333333,-153.6598333333,2.73,0.6,1168584447260
2007-01-12T06:56:13.120Z,58.7981666667,-153.6263333333,0.99,0.3,1168584973120
2007-01-12T07:21:07.370Z,61.1835,-152.23,2.97,0.2,1168586467370
2007-01-12T07:40:17.240Z,52.315,-174.1306666667,8.3,1.2,1168587617240
2007-01-12T07:40:53.260Z,52.3128333333,-174.1321666667,6.25,2.1,1168587653260
2007-01-12T07:41:56.060Z,52.3133333333,-174.1465,10.63,0.3,1168587716060
2007-01-12T07:42:20.130Z,52.3186666667,-174.1401666667,11.9,0.3,1168587740130
